STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2019,,4866,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1980,,460,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1985,,480,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1990,,524,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1995,,436,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1996,,432,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1997,,415,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1998,,404.8,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,1999,,399.4,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CZE,Czechia,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,GROUND,Fresh ground water,2000,,391.7,,A,Normal value,,,,,,,6,Millions,1,One
