Country,Year,Measure_group,OBS_VALUE_abstraction
Bulgaria,2001,Services,30.36
Bulgaria,2002,Agriculture & Fisheries,2646.736
Bulgaria,2002,Domestic & Public Use,2114.22
Bulgaria,2002,Industry & Manufacturing,620.24
Bulgaria,2002,Services,25.5
Bulgaria,2003,Agriculture & Fisheries,4009.978
Bulgaria,2003,Domestic & Public Use,2096.62
Bulgaria,2003,Industry & Manufacturing,528.78
Bulgaria,2003,Services,22.36
Bulgaria,2004,Agriculture & Fisheries,3195.084
Bulgaria,2004,Domestic & Public Use,1994.68
Bulgaria,2004,Industry & Manufacturing,513.1
Bulgaria,2004,Services,19.08
Bulgaria,2005,Agriculture & Fisheries,2501.92
Bulgaria,2005,Domestic & Public Use,1962.6599999999999
Bulgaria,2005,Industry & Manufacturing,519.92
Bulgaria,2005,Services,20.16
Bulgaria,2006,Agriculture & Fisheries,3180.7799999999997
Bulgaria,2006,Domestic & Public Use,2052.76
Bulgaria,2006,Industry & Manufacturing,528.86
Bulgaria,2006,Services,23.939999999999998
Bulgaria,2007,Agriculture & Fisheries,3709.5
Bulgaria,2007,Domestic & Public Use,2052.72
Bulgaria,2007,Industry & Manufacturing,511.6
Bulgaria,2007,Services,22.78
Bulgaria,2008,Agriculture & Fisheries,3711.98
Bulgaria,2008,Domestic & Public Use,2032.44
Bulgaria,2008,Industry & Manufacturing,488.62
Bulgaria,2008,Services,26.2
Bulgaria,2009,Agriculture & Fisheries,3729.24
Bulgaria,2009,Domestic & Public Use,1956.72
Bulgaria,2009,Industry & Manufacturing,368.70000000000005
Bulgaria,2009,Services,24.759999999999998
Bulgaria,2010,Agriculture & Fisheries,3422.08
Bulgaria,2010,Domestic & Public Use,1858.82
Bulgaria,2010,Industry & Manufacturing,352.48
Bulgaria,2010,Services,30.04
Bulgaria,2011,Agriculture & Fisheries,3869.62
Bulgaria,2011,Domestic & Public Use,1833.1
Bulgaria,2011,Industry & Manufacturing,312.9
Bulgaria,2011,Services,27.1
Bulgaria,2012,Agriculture & Fisheries,3488.78
Bulgaria,2012,Domestic & Public Use,1867.64
Bulgaria,2012,Industry & Manufacturing,294.12
Bulgaria,2012,Services,28.98
Bulgaria,2013,Agriculture & Fisheries,2788.54
Bulgaria,2013,Domestic & Public Use,1822.46
Bulgaria,2013,Industry & Manufacturing,289.15999999999997
Bulgaria,2013,Services,61.86
Bulgaria,2014,Agriculture & Fisheries,2676.562
Bulgaria,2014,Domestic & Public Use,1712.316
Bulgaria,2014,Industry & Manufacturing,294.08
Bulgaria,2014,Services,62.16
Bulgaria,2015,Agriculture & Fisheries,3084.44
Bulgaria,2015,Domestic & Public Use,1738.6
Bulgaria,2015,Industry & Manufacturing,313.2
Bulgaria,2015,Services,60.66
Bulgaria,2016,Agriculture & Fisheries,3374.08
Bulgaria,2016,Domestic & Public Use,1750.72
Bulgaria,2016,Industry & Manufacturing,293.86
Bulgaria,2016,Services,36.88
Bulgaria,2017,Agriculture & Fisheries,3056.98
Bulgaria,2017,Domestic & Public Use,1763.98
Bulgaria,2017,Industry & Manufacturing,315.52
Bulgaria,2017,Services,45.26
Bulgaria,2018,Agriculture & Fisheries,2638.48
Bulgaria,2018,Domestic & Public Use,1682.72
Bulgaria,2018,Industry & Manufacturing,320.75
Bulgaria,2018,Services,48.0
Bulgaria,2019,Agriculture & Fisheries,2939.5840000000003
Bulgaria,2019,Domestic & Public Use,1686.641
Bulgaria,2019,Industry & Manufacturing,302.007
Bulgaria,2019,Services,46.897999999999996
Bulgaria,2020,Agriculture & Fisheries,2810.0389999999998
Bulgaria,2020,Domestic & Public Use,1630.403
Bulgaria,2020,Industry & Manufacturing,295.562
Bulgaria,2020,Services,44.964
Bulgaria,2021,Agriculture & Fisheries,1548.781899
Bulgaria,2021,Domestic & Public Use,809.087
Bulgaria,2021,Industry & Manufacturing,150.929
Bulgaria,2021,Services,24.599
Croatia,1996,Industry & Manufacturing,260.0
Croatia,1997,Industry & Manufacturing,1382.0
Croatia,1998,Industry & Manufacturing,216.0
Croatia,1999,Industry & Manufacturing,146.0
Croatia,2000,Agriculture & Fisheries,90.0
Croatia,2000,Domestic & Public Use,964.0
Croatia,2000,Industry & Manufacturing,126.94
Croatia,2001,Agriculture & Fisheries,90.0
Croatia,2001,Domestic & Public Use,970.54603
Croatia,2001,Industry & Manufacturing,95.41000199999999
Croatia,2001,Services,0.0
Croatia,2002,Agriculture & Fisheries,90.0
Croatia,2002,Domestic & Public Use,956.20298
Croatia,2002,Industry & Manufacturing,97.761995
Croatia,2002,Services,0.0
Croatia,2003,Agriculture & Fisheries,90.0
Croatia,2003,Domestic & Public Use,977.4319899999999
Croatia,2003,Industry & Manufacturing,96.349999
Croatia,2003,Services,0.0
Croatia,2004,Agriculture & Fisheries,90.0
Croatia,2004,Domestic & Public Use,961.44199
Croatia,2004,Industry & Manufacturing,94.51499899999999
Croatia,2004,Services,0.0
Croatia,2005,Agriculture & Fisheries,90.0
Croatia,2005,Domestic & Public Use,958.064
Croatia,2005,Industry & Manufacturing,97.312003
Croatia,2005,Services,0.0
Croatia,2006,Agriculture & Fisheries,90.0
Croatia,2006,Domestic & Public Use,954.53805
Croatia,2006,Industry & Manufacturing,103.947998
Croatia,2006,Services,0.0
Croatia,2007,Agriculture & Fisheries,90.0
Croatia,2007,Domestic & Public Use,963.50001
Croatia,2007,Industry & Manufacturing,100.518996
Croatia,2007,Services,0.0
Croatia,2008,Agriculture & Fisheries,90.0
Croatia,2008,Domestic & Public Use,957.30997
Croatia,2008,Industry & Manufacturing,101.699
Croatia,2008,Services,0.0
Croatia,2009,Agriculture & Fisheries,90.0
Croatia,2009,Domestic & Public Use,965.89903
